Name,Nat,Club,Position,Age,Height,Preferred_ Foot,Apps,Starts,Mins,Gls,Ast,Wage,Transfer_Value,Pens,Pens_S,Pas_A,Pas_%,Pr_Passes,Pres_A,Pres_C,Blk,Shts_Blckd,Clear,Hdrs,Itc,Tck_A,Tck_W,Off,Gl_Mst,K_Tck,Distance,Drb,Cr_A,Cr_C%,Shots,Shts_on_target,K_Pas,Yel,Red,xG,xA
Alessio Zerbin,ITA,Fulham,"M/AM (RL), ST (C)",33,"6'0""",Right,3 (16),3,559,1,1,"£38,500 p/w",£210K,0,0,234,86%,36,112,38,2,2,2,15,12,17,13,6,0,0,88.5km,15,24,20%,7,2,22,0,0,0.76,2.5
Joel Ndala,ENG,Fulham,"M (LC), AM (RL)",25,"5'10""",Right,2 (10),2,399,0,0,"£24,500 p/w",£5.4M - £6.6M,0,0,158,78%,7,69,14,1,0,7,9,7,15,13,2,0,0,60.4km,10,33,0%,6,0,5,1,0,0.47,0.42
Gavin Kilkenny,IRL,Fulham,"DM, M/AM (C)",32,"5'7""",Right,1 (11),1,319,0,1,"£34,500 p/w",£65K - £210K,0,0,177,83%,14,70,24,2,1,1,3,5,8,5,0,0,0,49.8km,1,12,25%,4,2,10,1,0,0.2,0.79
Micheal Sanusi,NGA,Fulham,"DM, M (C)",23,"6'1""",Either,0 (3),-,58,0,0,"£7,000 p/w",£9M - £11M,0,0,45,84%,4,15,4,0,0,0,1,2,1,0,0,0,0,10.0km,0,0,0%,0,-,0,0,0,0,0
Stéphane Obamé,ENG,Fulham,"AM (RC), ST (C)",23,"6'0""",Right,-,-,-,-,-,"£8,250 p/w",£4.1M - £6M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arsen Hayrapetyan,ARM,Fulham,GK,24,"6'2""",Right,-,-,-,-,-,"£4,400 p/w",£7.4M - £10.5M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sebastian Jensen,DEN,Fulham,GK,25,"6'3""",Right,-,-,-,-,-,"£10,000 p/w",£26K - £275K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jakub Stolarczyk,POL,Huddersfield,GK,31,"6'4""",Right,47,47,4230,0,0,"£5,750 p/w",£110K - £1.1M,0,0,"1,514",59%,81,0,0,-,-,-,-,34,12,3,0,5,0,291.9km,0,-,-,0,-,3,0,0,0,0.13
Rarmani Edmonds-Green,ENG,Huddersfield,"D (RC), DM",33,"5'11""",Right,44 (5),44,3772,0,1,"£7,250 p/w",Not for Sale,0,0,"2,509",86%,185,293,107,42,31,78,213,161,92,75,0,2,11,488.1km,24,18,0%,14,4,7,6,0,1.47,1.29
Jayden Meghoma,ENG,Huddersfield,"D (LC), WB (L)",25,"6'0""",Left,43,43,3559,0,1,"£10,500 p/w",£600K - £6.2M,0,0,"2,224",85%,148,373,145,40,21,64,204,175,102,78,2,1,13,488.4km,46,49,6%,13,8,13,7,1,0.86,1.23
Kasey McAteer,ENG,Huddersfield,D/WB (RL),30,"5'11""",Right,42 (3),42,3547,2,1,"£16,500 p/w",£250K - £2.5M,0,0,"1,829",80%,160,511,159,30,10,61,173,140,125,100,8,1,12,541.9km,93,185,9%,21,8,43,4,0,1.45,4.23
Jon Torres,FRA,Huddersfield,"AM (LC), ST (C)",19,"5'10""",Left,38 (1),38,3123,9,1,"£8,000 p/w",£11M - £18M,0,0,837,86%,30,323,91,9,5,6,72,25,43,32,44,0,0,419.7km,37,28,32%,44,23,30,8,1,8.22,2.4
Jamal Baptiste,ENG,Huddersfield,D (C),28,"6'0""",Right,37 (3),37,3254,1,1,"£10,500 p/w",£250K - £2.5M,0,0,"2,275",89%,147,161,64,30,26,53,280,99,57,44,0,1,16,387.1km,1,0,0%,12,5,3,4,0,1.18,0.45
Hamza Choudhury,ENG,Huddersfield,"D (C), DM, M (C)",34,"5'10""",Right,34 (8),34,3018,0,1,"£14,500 p/w",£14K - £45K,0,0,"2,176",85%,205,489,157,19,11,33,97,60,124,91,1,1,1,443.3km,25,14,7%,16,3,28,16,0,0.38,1.33
Jack Rudoni,ENG,Huddersfield,"DM, M (C), AM (RLC), ST (C)",30,"6'1""",Left,34 (1),34,2708,5,1,"£31,000 p/w",£4.8M - £9.4M,6,5,"1,161",82%,81,530,128,10,5,15,103,46,90,70,14,1,1,405.4km,31,52,21%,50,20,40,4,0,10.29,5
George Thomason,ENG,Huddersfield,"DM, M (C)",31,"5'10""",Left,31 (12),31,2835,3,2,"£7,750 p/w",£500K - £1.1M,0,0,"2,025",86%,173,431,140,23,10,27,50,59,83,59,0,0,0,413.1km,19,10,28%,24,7,26,2,0,0.72,1.66
Sam Field,ENG,Huddersfield,"DM, M (C)",34,"6'0""",Left,29 (14),29,2413,1,3,"£7,500 p/w",£60K,1,1,"1,672",81%,193,380,119,21,8,8,80,44,93,64,2,1,3,348.9km,11,16,6%,26,6,26,8,0,2.58,1.67
Liam Edwards,WAL,Huddersfield,"D (RC), DM",24,"6'4""",Either,26 (20),26,2590,1,0,"£9,500 p/w",£160K - £4.2M,0,0,"1,911",72%,136,137,58,19,15,61,255,84,50,36,0,2,7,329.5km,3,3,0%,13,6,9,6,0,0.78,1.02
Enric,ESP,Huddersfield,"AM (RLC), ST (C)",23,"6'0""",Either,26 (7),26,2284,3,1,"£5,750 p/w",£500K - £1.4M,0,0,"1,022",82%,52,381,107,16,3,16,144,24,98,80,6,0,1,320.0km,41,40,7%,38,14,19,1,0,3.62,1.75
Ben Wiles,SCO,Huddersfield,"D (R), WB (L), M (C), AM (LC)",33,"5'9""",Right,25 (11),25,2204,3,4,"£14,750 p/w",£70K,0,0,999,79%,64,424,118,11,0,12,35,52,83,56,6,0,1,332.3km,47,91,12%,28,10,42,2,0,4.2,3.16
Tyler Dibling,ENG,Huddersfield,"M (R), AM (RLC), ST (C)",26,"5'10""",Left,23 (14),23,2160,2,2,"£12,500 p/w",£5M - £6.2M,0,0,847,78%,59,345,91,10,1,12,26,31,66,46,38,0,0,309.9km,55,173,20%,39,11,59,0,3,4.97,4.8
Connan Ong,ENG,Huddersfield,M/AM (L),18,"5'10""",Right,17 (2),17,1348,2,1,N/A,£6.2M - £7.2M,0,0,431,79%,29,319,100,9,2,21,15,45,68,53,6,0,1,201.4km,60,60,13%,17,3,13,3,0,0.97,1.95
Niall Huggins,WAL,Huddersfield,"D (RL), WB/AM (R)",31,"5'8""",Either,16 (26),16,1742,0,4,"£11,750 p/w",£325K,0,0,960,83%,86,252,93,18,4,30,33,81,58,45,5,0,4,275.4km,51,101,12%,13,5,20,2,0,0.6,2.31
Joselu,ESP,Huddersfield,D/WB (L),24,"5'11""",Left,15 (14),15,1385,0,0,"£5,750 p/w",£450K - £1.4M,0,0,606,80%,66,209,55,19,6,40,59,42,58,40,1,1,3,215.4km,20,84,5%,7,0,4,2,0,0.16,0.47
Tyreece John-Jules,ENG,Huddersfield,"AM (RLC), ST (C)",31,"6'1""",Right,14 (24),14,1517,3,1,"£8,500 p/w",£110K - £1.1M,1,1,542,80%,17,216,62,4,0,9,81,15,42,31,19,0,0,217.8km,22,18,11%,20,9,16,2,0,3.23,1.14
Jérémy Tisserand,FRA,Huddersfield,"M (L), AM (RLC), ST (C)",23,"5'11""",Either,8 (20),8,990,4,1,"£14,500 p/w",£3.5M,0,0,369,80%,24,144,48,3,1,7,53,7,30,23,10,0,0,146.8km,29,34,23%,20,7,18,2,0,2.14,2.48
Dan Happe,ENG,Huddersfield,D (C),33,"6'5""",Left,4 (12),4,514,0,0,"£7,250 p/w",£0 - £30K,0,0,361,81%,20,24,12,5,4,6,51,19,8,7,0,0,1,65.6km,1,0,0%,0,-,0,3,0,0,0
Alex Palmer,ENG,Huddersfield,GK,35,"6'3""",Right,4,4,360,0,0,"£3,300 p/w",£2K - £20K,0,0,92,46%,8,0,0,-,-,-,-,2,0,-,0,0,0,22.6km,0,-,-,0,-,0,0,0,0,0
Eseosa Sule,SCO,Huddersfield,"AM (RC), ST (C)",26,"6'4""",Right,2 (10),2,350,0,0,"£11,250 p/w",£1.6M,0,0,129,84%,8,26,7,1,0,0,38,1,5,2,11,0,0,48.2km,3,6,33%,15,6,3,0,0,1.27,0.04
Scott High,SCO,Huddersfield,"D (R), DM, M (C)",31,"5'10""",Right,0 (10),-,159,0,0,"£15,500 p/w",£1.5M,0,0,82,90%,6,30,12,1,1,4,4,6,7,6,0,0,0,27.0km,3,1,0%,2,1,1,0,0,0.03,0.01
Matthew Turner,WAL,Huddersfield,GK,30,"6'6""",Right,-,-,-,-,-,"£1,700 p/w",£0 - £6K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daniel Rigge,ENG,Hull,M/AM (C),26,"5'9""",Right,43 (2),43,3724,6,5,"£13,750 p/w",£750K - £7.8M,0,0,"1,908",87%,106,786,216,24,8,15,40,60,102,70,4,0,0,568.4km,40,17,47%,34,17,48,4,1,5.1,4.48
James Ward,ENG,Hull,D (RC),19,"6'2""",Right,41 (4),41,3475,1,4,"£11,250 p/w",£26M - £42M,0,0,"2,344",86%,186,505,153,38,12,67,200,168,109,89,2,3,7,524.9km,72,153,14%,16,5,37,5,0,0.9,3.8
Connor Taylor,ENG,Hull,D (C),30,"6'5""",Right,39 (3),39,3421,2,0,"£17,750 p/w",£9.8M - £16M,0,0,"2,932",91%,140,183,81,39,33,55,306,179,59,47,0,1,14,419.9km,5,1,0%,29,12,2,2,0,2.28,0.48
Olivier Mbala,COD,Hull,"AM (RL), ST (C)",23,"5'9""",Either,37 (5),37,3032,7,2,"£6,750 p/w",£10.5M - £13.5M,0,0,"1,340",87%,39,596,186,18,5,26,50,53,80,68,17,0,0,419.6km,62,69,20%,47,19,54,6,0,5.29,3.72
Harry Pickering,ENG,Hull,"D (LC), WB (L), DM, M (L)",33,"6'1""",Left,37 (3),37,3155,0,3,"£12,750 p/w",£45K - £130K,0,0,"1,921",86%,215,447,156,46,16,35,80,96,102,81,2,1,5,458.1km,32,95,7%,11,3,22,2,0,0.52,1.19
Artur Istrefi,ALB,Hull,"AM (RLC), ST (C)",23,"5'11""",Right,36 (5),36,2796,4,3,"£5,500 p/w",Not for Sale,0,0,937,88%,24,350,109,14,5,8,57,33,52,39,21,1,0,385.2km,34,11,27%,35,14,22,3,1,5.13,2.78
Nana Baidoo,GHA,Hull,"D (C), DM",21,"6'2""",Right,35 (6),35,2991,4,0,"£10,250 p/w",£8.2M - £13.5M,0,0,"2,671",86%,159,272,101,25,16,94,304,96,80,51,2,1,5,396.4km,7,4,0%,31,8,14,9,0,2.12,1.53
Luis Berridge,SCO,Hull,M/AM (RC),23,"6'0""",Right,35 (5),35,2813,5,3,"£14,750 p/w",£3.4M - £5.4M,0,0,"1,350",81%,41,669,205,15,2,37,141,57,69,48,16,0,1,410.5km,113,72,9%,53,20,30,0,0,5.8,2.06
Regan Slater,ENG,Hull,"DM, M (C), AM (RLC)",32,"5'8""",Right,35 (4),35,2828,0,5,"£13,250 p/w",£350K - £3.4M,0,0,"2,453",88%,244,449,134,21,12,22,44,46,84,55,2,0,2,414.3km,10,22,33%,23,4,35,7,0,1.26,3.03
Adam Randell,ENG,Hull,"DM, M (C)",31,"5'9""",Either,34 (1),34,2767,4,3,"£12,750 p/w",£350K - £3.5M,3,3,"2,450",87%,225,515,166,19,12,24,31,52,91,71,2,1,3,411.1km,19,142,33%,31,10,59,2,0,3.32,5.33
Mattie Pollock,ENG,Hull,D (C),30,"6'3""",Right,33 (9),33,3142,2,0,"£17,500 p/w",£6.2M - £10M,0,0,"2,998",89%,187,149,78,27,24,78,348,124,56,45,0,3,14,385.0km,2,2,0%,12,5,3,4,0,0.87,0.03
Andrew Fisher,ENG,Hull,GK,34,"6'2""",Right,32,32,2880,0,0,"£8,500 p/w",£35K - £375K,0,0,786,41%,57,0,0,-,-,-,-,20,4,0,0,3,0,139.1km,0,-,-,0,-,1,0,0,0,0.12
Allahyar Sayyadmanesh,IRN,Hull,"M (L), AM (RL), ST (C)",30,"6'0""",Right,24 (4),24,2079,4,1,"£24,500 p/w",£110K - £8M,2,1,914,86%,41,489,135,21,5,18,103,60,90,66,15,0,1,300.9km,54,44,18%,37,16,23,2,0,4.55,3.21
Calum Ward,ENG,Hull,GK,31,"6'1""",Right,19,19,1710,0,0,"£4,100 p/w",£60K - £600K,0,0,560,41%,23,0,0,-,-,-,-,5,0,-,0,1,0,123.4km,0,-,-,0,-,0,0,0,0,0
Harvey Araujo,ENG,Hull,"D (LC), WB (L)",27,"6'5""",Left,14 (19),14,1435,0,0,"£8,250 p/w",£1.8M - £3.9M,0,0,"1,019",84%,103,196,97,22,10,11,89,48,36,26,2,1,1,215.9km,33,17,17%,20,5,13,0,0,1.58,0.44
Alejo Veliz,ARG,Hull,ST (C),28,"6'2""",Right,13 (23),13,1582,6,1,"£22,500 p/w",£4.6M - £6.8M,0,0,412,83%,4,163,55,1,1,1,151,10,13,10,48,0,0,211.8km,15,14,12%,59,26,6,0,0,9.9,0.27
Sean McGurk,ENG,Hull,M/AM (RLC),29,"5'10""",Right,8 (20),8,999,2,2,"£8,500 p/w",£95K - £950K,0,0,458,79%,31,268,83,9,2,5,13,24,38,30,8,0,0,158.9km,39,48,16%,17,7,19,1,0,1.71,2
Callum Slattery,ENG,Hull,"DM, M/AM (C)",33,"5'11""",Right,8 (16),8,1075,0,2,"£9,000 p/w",£35K - £375K,0,0,927,87%,100,188,68,8,6,14,14,15,31,25,0,0,2,162.5km,5,89,25%,10,1,42,0,0,0.65,4.05
Lewis Travis,ENG,Hull,"DM, M (C)",34,"6'0""",Right,7 (17),7,807,0,0,"£8,250 p/w",£2.5K,0,0,704,86%,68,154,49,8,4,12,16,10,26,18,1,0,0,127.5km,7,2,0%,9,2,2,3,0,0.52,0.16
Jack Fletcher,ENG,Hull,D (C),20,"6'8""",Right,6 (15),6,778,0,0,N/A,£24K - £240K,0,0,613,83%,42,49,16,11,10,24,73,28,15,12,0,1,3,103.6km,1,3,33%,9,3,5,1,1,0.71,0.22
Habeeb Ogunneye,NGA,Hull,"D (RC), WB (R)",26,"5'11""",Right,6 (9),6,611,0,0,"£9,250 p/w",£3.1M,0,0,406,79%,43,119,44,6,1,21,42,49,20,17,2,1,0,102.0km,20,39,10%,3,1,10,0,0,0.22,0.86
Nico O'Reilly,ENG,Hull,"M/AM (C), ST (C)",27,"6'1""",Left,5 (13),5,554,2,0,"£12,000 p/w",£2.5M - £4.9M,0,0,304,88%,20,96,28,1,0,1,22,6,12,11,1,0,0,86.5km,5,2,50%,4,2,3,1,0,0.66,0.35
Shane Loughrey,IRL,Hull,"D (LC), DM",22,"6'4""",Either,2 (5),2,196,0,1,"£3,400 p/w",£750K - £1.6M,0,0,123,89%,14,32,18,4,0,3,11,9,5,4,0,0,0,30.2km,3,6,33%,2,0,3,0,0,0.05,0.52
Andy Barker,IRL,Hull,"M/AM (RC), ST (C)",24,"5'9""",Right,1 (9),1,282,0,2,"£4,400 p/w",£180K - £4.8M,0,0,118,84%,9,58,19,3,1,4,1,6,17,12,1,0,0,44.9km,11,11,37%,0,-,3,0,0,0,0.97
Jason Hudson,ENG,Hull,D (LC),24,"6'5""",Left,1 (3),1,136,0,0,"£3,700 p/w",£120K - £1.2M,0,0,94,79%,7,10,4,4,3,3,7,3,3,3,0,0,0,19.6km,3,1,0%,0,-,1,0,0,0,0.16
Chris Beatson,ENG,Hull,GK,22,"6'5""",Either,-,-,-,-,-,£975 p/w,£1.5K - £5K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kian Savage,SCO,Hull,GK,24,"6'1""",Right,-,-,-,-,-,"£2,500 p/w",£35K - £375K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Errol Somersall,ENG,Middlesbrough,GK,24,"6'0""",Right,48,48,4320,0,0,"£8,000 p/w",£65K - £650K,0,0,"1,145",43%,106,0,0,-,-,-,-,29,3,0,0,9,2,292.5km,0,-,-,0,-,1,0,0,0,0.44
Jarrad Branthwaite,ENG,Middlesbrough,D (RLC),29,"6'5""",Either,39 (1),39,3473,4,0,"£33,500 p/w",£4.2M - £6.4M,0,0,"1,940",59%,166,217,102,29,26,71,323,121,62,51,2,1,6,447.2km,10,19,5%,22,7,18,10,0,1.66,1.6
Taylor Richards,ENG,Middlesbrough,"M (RC), AM (RLC)",31,"5'11""",Left,39 (1),39,2994,12,5,"£29,500 p/w",Not for Sale,3,2,"1,202",75%,99,626,221,13,4,14,124,70,128,97,9,1,1,459.6km,93,58,13%,71,33,43,0,0,9.4,5.32
Julian Ryerson,NOR,Middlesbrough,"D/WB (R), DM, M (RC)",34,"6'0""",Right Only,37 (2),37,3082,1,4,"£40,000 p/w",£400K - £4.1M,0,0,"1,305",85%,128,421,150,24,11,35,85,132,115,86,4,0,6,475.5km,65,139,7%,14,4,28,7,0,1.06,2.78
Danny Namaso,CMR,Middlesbrough,"AM (RLC), ST (C)",31,"6'0""",Right,35 (8),35,2828,8,3,"£22,000 p/w",Not for Sale,0,0,915,78%,51,463,141,13,1,18,109,75,116,93,31,0,1,413.3km,69,57,24%,79,34,41,9,0,11.38,5.06
Tyler Morton,ENG,Middlesbrough,"D (C), DM, M (C)",29,"5'9""",Right,34 (2),34,2958,5,8,"£30,000 p/w",£6.4M - £9.8M,1,1,"1,670",81%,225,469,155,20,11,21,70,66,101,72,2,0,5,460.9km,26,275,31%,28,12,85,9,0,2.06,7.09
Wouter Burger,NED,Middlesbrough,"DM, M (C)",31,"6'3""",Left,29 (1),29,2386,0,3,"£41,000 p/w",Not for Sale,0,0,"1,503",86%,174,364,118,18,11,22,102,56,94,70,2,0,4,360.5km,21,16,12%,27,6,32,8,0,0.88,2.05
Marcus Forss,FIN,Middlesbrough,"AM (RLC), ST (C)",32,"6'0""",Right,29 (1),29,2345,12,3,"£25,500 p/w",£425K - £4.3M,2,1,642,82%,33,232,66,6,2,2,139,18,53,33,33,0,0,324.6km,22,11,27%,66,27,23,2,0,13.84,2.92
Josh Wilson-Esbrand,ENG,Middlesbrough,D/WB/AM (L),29,"5'10""",Left,27 (11),27,2421,0,1,"£22,500 p/w",£450K - £9M,0,0,"1,123",85%,111,342,118,33,10,37,61,121,112,85,2,0,5,384.2km,83,114,7%,7,0,21,10,0,0.42,1.55
Neil Dejyothin,ENG,Middlesbrough,D (C),19,"6'2""",Right,25 (8),25,2282,0,2,"£9,000 p/w",£750K - £7.6M,0,0,"1,286",78%,90,113,54,20,17,52,150,91,40,29,1,2,9,291.3km,2,2,50%,1,0,3,5,0,0.01,0.86
Radu Dr?gu?in,ROU,Middlesbrough,D (RC),30,"6'3""",Right,23 (14),23,2240,0,2,"£22,000 p/w",£4.8M - £7.6M,0,0,"1,188",86%,76,158,52,11,9,40,169,103,55,38,0,2,11,314.5km,24,60,13%,10,3,14,8,0,0.37,1.42
Thierry Small,ENG,Middlesbrough,"D (LC), WB (L)",27,"5'11""",Left,22 (9),22,2000,2,0,"£20,500 p/w",£7.6M - £9.4M,0,0,929,76%,97,257,85,30,5,43,98,121,83,69,2,0,2,319.4km,86,112,15%,12,5,26,3,0,0.83,3.84
Sonny Perkins,ENG,Middlesbrough,"M (C), AM (LC), ST (C)",28,"6'2""",Left,21 (26),21,2289,7,6,"£27,000 p/w",£6M - £7.8M,0,0,824,81%,59,359,123,8,4,8,189,40,71,52,31,0,2,348.4km,64,33,6%,74,33,24,3,0,9.37,3.93
Rhys Williams,ENG,Middlesbrough,D (C),31,"6'5""",Right Only,20 (10),20,1881,0,0,"£23,500 p/w",£5.6M - £6.8M,0,0,"1,263",83%,90,73,36,6,5,36,198,112,24,16,0,0,5,241.4km,4,0,0%,10,1,4,1,0,1.03,0.17
Charlie Medine,ENG,Middlesbrough,"DM, M/AM (C)",22,"5'7""",Left,18 (13),18,1722,0,2,"£18,000 p/w",£75K - £750K,0,0,"1,005",80%,160,276,97,13,7,10,16,32,64,46,1,0,1,267.8km,15,23,23%,6,2,32,1,0,0.47,3.1
Will Alves,ENG,Middlesbrough,"M (C), AM (RLC)",27,"5'9""",Right,17 (20),17,1661,6,6,"£30,500 p/w",£12.5M - £15.5M,0,0,759,77%,53,301,73,8,2,5,39,27,51,42,7,1,0,267.4km,44,71,30%,43,15,40,3,0,5.27,3.93
Glen McGuinness,IRL,Middlesbrough,"M/AM (L), ST (C)",24,"6'0""",Left,13 (28),13,1586,3,3,"£11,000 p/w",£5.8M - £9M,0,0,481,78%,38,293,94,9,2,13,87,21,78,57,22,0,1,246.5km,65,125,14%,32,12,31,5,0,4.1,4.19
Tyrhys Dolan,ENG,Middlesbrough,"M (RL), AM (RLC), ST (C)",30,"5'7""",Right,13,13,961,1,1,"£28,500 p/w",£4.1M - £6.4M,0,0,364,76%,32,219,71,5,1,14,14,19,44,33,6,0,0,145.1km,37,95,12%,11,4,24,0,0,1.23,2.05
Michael Robinson,ENG,Middlesbrough,"M/AM (R), ST (C)",24,"5'8""",Right,12 (11),12,1072,3,2,"£12,250 p/w",£275K - £2.8M,0,0,315,79%,21,178,62,5,0,5,10,19,35,26,3,0,0,163.6km,41,103,2%,25,10,6,1,0,1.78,0.41
Gibril McMaster,ENG,Middlesbrough,"D (C), DM, M (C)",23,"5'10""",Right,10 (6),10,986,0,0,"£7,500 p/w",£600K - £7.4M,0,0,671,85%,60,122,33,4,3,7,40,27,34,27,0,0,1,151.2km,8,5,20%,8,3,14,3,1,0.38,1.4
Filip Stevanovi?,SRB,Middlesbrough,M/AM (RLC),29,"5'10""",Right,7 (6),7,567,0,1,"£33,500 p/w",£5.4M - £6.6M,0,0,205,76%,14,119,35,2,0,2,11,13,28,19,2,2,0,86.7km,10,77,16%,8,3,22,2,0,1.06,2.39
Isaiah Jones,ENG,Middlesbrough,"WB (R), M/AM (RL)",32,"5'10""",Right,5 (21),5,810,3,4,"£45,000 p/w",£1.7M,0,0,313,76%,44,134,45,3,1,4,27,22,28,20,4,0,0,129.8km,26,62,8%,13,8,16,0,0,2.44,2.34
Aaron Jones,WAL,Middlesbrough,D (RC),24,"6'0""",Right,1 (3),1,123,0,0,"£4,500 p/w",£500K,0,0,59,66%,5,13,8,2,1,3,14,7,4,2,0,0,0,19.9km,0,7,0%,0,-,0,0,0,0,0
Alun Beattie,ENG,Middlesbrough,D (RLC),22,"6'2""",Right,0 (2),-,33,0,0,"£2,400 p/w",£24K - £250K,0,0,21,76%,3,2,0,2,0,1,2,2,2,1,0,0,0,6.1km,0,1,0%,0,-,1,0,0,0,0
Ben Berry,ENG,Middlesbrough,"AM (RL), ST (C)",22,"6'2""",Right,-,-,-,-,-,"£2,300 p/w",£5K - £50K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stephen Bonney,ENG,Middlesbrough,"DM, M (C)",24,"5'11""",Right,-,-,-,-,-,"£2,700 p/w",£85K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daniel Conway,ENG,Middlesbrough,GK,23,"5'11""",Right,-,-,-,-,-,"£4,400 p/w",£375K - £6M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rogan Ravenhill,ENG,Middlesbrough,GK,26,"6'0""",Right,-,-,-,-,-,£675 p/w,£20K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aynsley Pears,ENG,Millwall,GK,34,"6'1""",Right,50,50,4500,0,0,"£6,750 p/w",£85K - £850K,0,0,"1,480",95%,33,0,0,-,-,-,-,27,10,2,0,2,0,311.8km,0,-,-,0,-,0,0,0,0,0
James Hill,ENG,Millwall,D (RC),30,"6'0""",Right,46 (2),46,4087,1,0,"£12,250 p/w",£5.2M - £8.6M,1,1,"3,964",90%,199,208,77,46,36,100,368,145,45,40,2,2,12,496.1km,9,18,27%,22,9,6,8,0,2.35,0.92
Henry Cartwright,ENG,Millwall,"D (C), DM, M (C)",26,"5'11""",Right,44 (3),44,3701,1,1,"£7,750 p/w",£7.2M - £11.5M,0,0,"3,632",89%,346,501,199,18,12,41,138,70,117,82,3,2,2,531.8km,18,22,31%,18,8,41,9,0,0.9,2
Ben Grist,ENG,Millwall,"D (C), DM",27,"6'2""",Right,44 (3),44,3874,3,0,"£7,750 p/w",£3.4M - £5.6M,0,0,"3,581",90%,225,220,95,33,23,39,299,147,60,50,0,1,17,476.6km,7,6,50%,17,10,16,3,0,1.4,1.43
Mason Burstow,ENG,Millwall,"AM (RL), ST (C)",28,"6'2""",Right,44 (1),44,3581,12,4,"£10,000 p/w",£7M - £10M,0,0,"1,324",83%,48,494,148,11,4,18,258,44,76,57,34,0,0,483.0km,60,35,14%,94,52,19,3,0,14.25,2.15
Jaden Philogene,ENG,Millwall,"AM (RL), ST (C)",30,"5'9""",Right,41 (5),41,3542,3,9,"£9,750 p/w",£475K - £6.2M,0,0,"1,722",83%,88,720,236,25,5,26,123,59,136,116,28,0,1,513.6km,130,281,24%,50,16,77,0,0,4.58,7.3
Chris Hewitt,ENG,Millwall,M/AM (C),19,"6'0""",Right,40,40,3351,13,1,"£14,750 p/w",£8.8M - £11M,0,0,"1,760",83%,73,631,194,10,2,26,74,52,106,79,6,0,0,511.3km,82,15,20%,84,37,38,3,1,8.35,3.2
Jamie Clarke,JAM,Millwall,"D (RL), WB (R)",22,"5'9""",Right,37 (7),37,3227,1,5,"£5,250 p/w",£1.2M - £8.6M,0,0,"2,080",88%,141,469,174,29,9,73,59,145,112,89,3,4,9,495.4km,69,258,14%,7,2,45,6,0,0.63,5.49
Cody Drameh,ENG,Millwall,"D (RL), WB/M (R)",30,"5'9""",Right,37 (2),37,3132,3,8,"£12,250 p/w",£3.9M - £6.4M,2,2,"1,891",85%,136,433,159,31,15,66,114,131,116,87,7,2,4,475.5km,147,268,15%,26,8,55,6,0,3.3,6.84
Murtadha Foxall,ENG,Millwall,"D (RLC), WB (R)",21,"6'0""",Right,30 (12),30,2704,1,3,"£5,500 p/w",£7M - £10M,0,0,"1,992",87%,137,224,70,18,16,52,176,108,68,52,1,1,5,371.8km,31,69,14%,11,4,21,6,0,0.46,2.84
Ryan Longman,ENG,Millwall,"WB (R), M/AM (RL), ST (C)",31,"5'10""",Right,29 (13),29,2521,0,1,"£5,750 p/w",£50K - £475K,0,0,"1,075",85%,48,532,164,17,3,29,52,41,99,72,22,0,0,366.3km,122,82,14%,28,9,18,4,0,2.4,3.16
Chris Larmouth,ENG,Millwall,"DM, M (C)",23,"5'9""",Right,29 (9),29,2548,1,2,"£17,500 p/w",£6.8M - £10M,0,0,"2,509",86%,280,348,112,13,5,17,59,37,70,52,0,1,2,365.0km,10,7,28%,22,8,43,10,0,0.89,2.94
Daniel Ogwuru,NGA,Millwall,ST (C),27,"5'11""",Right,21 (1),21,1852,8,1,"£4,900 p/w",£400K - £1.3M,0,0,327,82%,12,173,41,4,1,7,43,13,40,23,35,0,1,230.5km,30,7,28%,34,18,8,2,0,8.33,1.14
Bigger Kukanda,SWE,Millwall,"WB (R), DM, M (C)",23,"6'3""",Right,16 (20),16,1623,0,1,N/A,£130K - £1.3M,0,0,"1,489",88%,169,196,77,6,4,9,82,24,57,40,2,0,2,244.6km,9,7,14%,15,5,19,1,0,0.86,1.28
